file;red;green;blue
_bows2-107.jpg;0.268589;0.268589;0.268589
_bows2-1074.jpg;0.135536;0.135536;0.135536
_bows2-1097.jpg;0.214588;0.214588;0.214588
_bows2-1116.jpg;0.124893;0.124893;0.124893
_bows2-1149.jpg;0.111141;0.111141;0.111141
_bows2-1186.jpg;0.423283;0.423283;0.423283
_bows2-1189.jpg;0.410004;0.410004;0.410004
_bows2-1230.jpg;0.305202;0.305202;0.305202
_bows2-1233.jpg;0.119282;0.119282;0.119282
_bows2-1261.jpg;0.134602;0.134602;0.134602
_bows2-13.jpg;0.275803;0.275803;0.275803
_bows2-1303.jpg;0.269432;0.269432;0.269432
_bows2-1370.jpg;0.280838;0.280838;0.280838
_bows2-1392.jpg;0.210556;0.210556;0.210556
_bows2-1426.jpg;0.233086;0.233086;0.233086
_bows2-1434.jpg;0.256935;0.256935;0.256935
_bows2-1445.jpg;0.251427;0.251427;0.251427
_bows2-148.jpg;0.253399;0.253399;0.253399
_bows2-150.jpg;0.229763;0.229763;0.229763
_bows2-1576.jpg;0.317093;0.317093;0.317093
_bows2-1612.jpg;0.143253;0.143253;0.143253
_bows2-162.jpg;0.322178;0.322178;0.322178
_bows2-1647.jpg;0.341938;0.341938;0.341938
_bows2-166.jpg;0.2938;0.2938;0.2938
_bows2-1696.jpg;0.305923;0.305923;0.305923
_bows2-172.jpg;0.371552;0.371552;0.371552
_bows2-1802.jpg;0.375366;0.375366;0.375366
_bows2-1811.jpg;0.380482;0.380482;0.380482
_bows2-1899.jpg;0.293091;0.293091;0.293091
_bows2-1925.jpg;0.233688;0.233688;0.233688
_bows2-1939.jpg;0.362473;0.362473;0.362473
_bows2-1951.jpg;0.317825;0.317825;0.317825
_bows2-2000.jpg;0.28381;0.28381;0.28381
_bows2-203.jpg;0.194904;0.194904;0.194904
_bows2-2034.jpg;0.294567;0.294567;0.294567
_bows2-2073.jpg;0.356709;0.356709;0.356709
_bows2-2082.jpg;0.263966;0.263966;0.263966
_bows2-2134.jpg;0.234486;0.234486;0.234486
_bows2-2138.jpg;0.22271;0.22271;0.22271
_bows2-2153.jpg;0.207165;0.207165;0.207165
_bows2-2158.jpg;0.0876122;0.0876122;0.0876122
_bows2-2215.jpg;0.176498;0.176498;0.176498
_bows2-2230.jpg;0.187626;0.187626;0.187626
_bows2-2239.jpg;0.140411;0.140411;0.140411
_bows2-225.jpg;0.268059;0.268059;0.268059
_bows2-233.jpg;0.280754;0.280754;0.280754
_bows2-2335.jpg;0.500282;0.500282;0.500282
_bows2-2380.jpg;0.182098;0.182098;0.182098
_bows2-2393.jpg;0.221546;0.221546;0.221546
_bows2-2420.jpg;0.374092;0.374092;0.374092
_bows2-2447.jpg;0.383774;0.383774;0.383774
_bows2-2487.jpg;0.268295;0.268295;0.268295
_bows2-250.jpg;0.269146;0.269146;0.269146
_bows2-2520.jpg;0.236092;0.236092;0.236092
_bows2-2540.jpg;0.222466;0.222466;0.222466
_bows2-2546.jpg;0.278111;0.278111;0.278111
_bows2-2558.jpg;0.282845;0.282845;0.282845
