Tool;Data;shortKey;shortKey;shortKey;longKey;longKey;longKey;noKey;noKey;noKey
f5;longEbd
f5;lowEntropyEbd
f5;middleEbd
f5;shortEbd
jsteg;binaryEbd;0;187;0
jsteg;longEbd;0;187;0
jsteg;lowEntropyEbd;0;187;0
jsteg;middleEbd;0;187;0
jsteg;shortEbd;0;187;0
original;original
outguess;binaryEbd
outguess;longEbd
outguess;lowEntropyEbd
outguess;middleEbd
outguess;shortEbd
outguess-0.13;binaryEbd;37;187;0.197861;45;187;0.240642;41;187;0.219251
outguess-0.13;longEbd;43;187;0.229947;38;187;0.203209;38;187;0.203209
outguess-0.13;lowEntropyEbd;39;187;0.208556;42;187;0.224599;34;187;0.181818
outguess-0.13;middleEbd;3;187;0.0160428;1;187;0.00534759;4;187;0.0213904
outguess-0.13;shortEbd;1;187;0.00534759;1;187;0.00534759;1;187;0.00534759
steghide;binaryEbd
steghide;longEbd
steghide;lowEntropyEbd
steghide;middleEbd
steghide;shortEbd

