Tool;Data;shortKey;shortKey;shortKey;longKey;longKey;longKey;noKey;noKey;noKey
f5;longEbd
f5;lowEntropyEbd
f5;middleEbd
f5;shortEbd
jsteg;binaryEbd;14;187;0.0748663
jsteg;longEbd;18;187;0.0962567
jsteg;lowEntropyEbd;14;187;0.0748663
jsteg;middleEbd;17;187;0.0909091
jsteg;shortEbd;15;187;0.0802139
original;original
outguess;binaryEbd
outguess;longEbd
outguess;lowEntropyEbd
outguess;middleEbd
outguess;shortEbd
outguess-0.13;binaryEbd;0;187;0;0;187;0;0;187;0
outguess-0.13;longEbd;0;187;0;112;187;0.59893;0;187;0
outguess-0.13;lowEntropyEbd;0;187;0;114;187;0.609626;0;187;0
outguess-0.13;middleEbd;0;187;0;30;187;0.160428;0;187;0
outguess-0.13;shortEbd;0;187;0;0;187;0;0;187;0
steghide;binaryEbd
steghide;longEbd
steghide;lowEntropyEbd
steghide;middleEbd
steghide;shortEbd

